longname,Not Cohabiting With Partner %,Cohabiting With Partner (Gay) %,Cohabiting With Partner (Straight) %,Living With Parents %,Other Living Situation %,Never Married %,Never Married % [StatCan],Married (not divorced) %,Married (not divorced) % [StatCan],Divorced %,Divorced % [StatCan]
"Guidimaka, Mauritania",,,,,,,,,,,
"Sinuiju Special Administrative Region, North Korea",,,,,,,,,,,
"Gulu, Uganda",,,,,,,,,,,
"Corse, France",,,,,,,,,,,
"Ajaria, Georgia",,,,,,,,,,,
"Lobaye, Central African Republic",,,,,,,,,,,
"Viseu, Portugal",,,,,,,,,,,
"Naama, Algeria",,,,,,,,,,,
"Bitlis, Turkey",,,,,,,,,,,
"Hhohho, Eswatini",,,,,,,,,,,
"Moûhîlî [Mohéli], Comoros",,,,,,,,,,,
"Veszprém, Hungary",,,,,,,,,,,
"Denguélé, Ivory Coast",,,,,,,,,,,
"Rize, Turkey",,,,,,,,,,,
"Freiburg, Switzerland",,,,,,,,,,,
"Berea, Lesotho",,,,,,,,,,,
"Békés, Hungary",,,,,,,,,,,
"Namutumba, Uganda",,,,,,,,,,,
"Hallands län, Sweden",,,,,,,,,,,
"Kumi, Uganda",,,,,,,,,,,
"Alba, Romania",,,,,,,,,,,
"Chiradzulu, Malawi",,,,,,,,,,,
"Niğde, Turkey",,,,,,,,,,,
"Gorj, Romania",,,,,,,,,,,
"Milne Bay, Papua New Guinea",,,,,,,,,,,
"Atacama, Chile",,,,,,,,,,,
"Zagrebačka županija, Croatia",,,,,,,,,,,
"Raški okrug, Serbia",,,,,,,,,,,
"Baja Verapaz, Guatemala",,,,,,,,,,,
"Brunei-Muara, Brunei",,,,,,,,,,,
"Ulster, Ireland",,,,,,,,,,,
"Nkhata Bay, Malawi",,,,,,,,,,,
"Vrancea, Romania",,,,,,,,,,,
"Demerara-Mahaica, Guyana",,,,,,,,,,,
"Ladākh, India",,,,,,,,,,,
"Tyva, Respublika, Russia",,,,,,,,,,,
"Butaleja, Uganda",,,,,,,,,,,
"Hakkâri, Turkey",,,,,,,,,,,
"Kars, Turkey",,,,,,,,,,,
"Xiangkhouang, Laos",,,,,,,,,,,
"Nana-Mambéré, Central African Republic",,,,,,,,,,,
"Sembabule, Uganda",,,,,,,,,,,
"Klaipėdos apskritis, Lithuania",,,,,,,,,,,
"Marsabit, Kenya",,,,,,,,,,,
"Zombo, Uganda",,,,,,,,,,,
"Kole, Uganda",,,,,,,,,,,
"Nsanje, Malawi",,,,,,,,,,,
"Kayah, Myanmar",,,,,,,,,,,
"Romblon, Philippines",,,,,,,,,,,
"Bolu, Turkey",,,,,,,,,,,
"Béja, Tunisia",,,,,,,,,,,
"Samburu, Kenya",,,,,,,,,,,
"Colón, Panama",,,,,,,,,,,
"West New Britain, Papua New Guinea",,,,,,,,,,,
"La Rioja, Spain",,,,,,,,,,,
"Kamchatskiy kray, Russia",,,,,,,,,,,
"Kaliro, Uganda",,,,,,,,,,,
"Nótio Aigaío, Greece",,,,,,,,,,,
"Catanduanes, Philippines",,,,,,,,,,,
"Mpigi, Uganda",,,,,,,,,,,
"Örebro län, Sweden",,,,,,,,,,,
"Kalinga, Philippines",,,,,,,,,,,
"Blagoevgrad, Bulgaria",,,,,,,,,,,
"Pasco, Peru",,,,,,,,,,,
"Heves, Hungary",,,,,,,,,,,
"Western Bahr el-Ghazal, South Sudan",,,,,,,,,,,
"Mayotte, France",,,,,,,,,,,
"Bay of Plenty, New Zealand",,,,,,,,,,,
"Brăila, Romania",,,,,,,,,,,
"K'akheti, Georgia",,,,,,,,,,,
"Bougainville, Papua New Guinea",,,,,,,,,,,
"Ljubljana, Slovenia",,,,,,,,,,,
"Harghita, Romania",,,,,,,,,,,
"Šumadijski okrug, Serbia",,,,,,,,,,,
"Bueng Kan, Thailand",,,,,,,,,,,
"Stara Zagora, Bulgaria",,,,,,,,,,,
"Agder, Norway",,,,,,,,,,,
"Upper River, The Gambia",,,,,,,,,,,
"Kırıkkale, Turkey",,,,,,,,,,,
"Bilecik, Turkey",,,,,,,,,,,
"Kyankwanzi, Uganda",,,,,,,,,,,
"Somogy, Hungary",,,,,,,,,,,
"Al Khawr wa adh Dhakhīrah, Qatar",,,,,,,,,,,
"Armavir, Armenia",,,,,,,,,,,
"Durrës, Albania",,,,,,,,,,,
"Biombo, Guinea-Bissau",,,,,,,,,,,
"Mtskheta-Mtianeti, Georgia",,,,,,,,,,,
"Nablus, State of Palestine",,,,,,,,,,,
"Gaborone, Botswana",,,,,,,,,,,
"Nueva Segovia, Nicaragua",,,,,,,,,,,
"Sironko, Uganda",,,,,,,,,,,
"Kalmykiya, Respublika, Russia",,,,,,,,,,,
"Central, Papua New Guinea",,,,,,,,,,,
"Samegrelo-Zemo Svaneti, Georgia",,,,,,,,,,,
"Kanungu, Uganda",,,,,,,,,,,
"Ibanda, Uganda",,,,,,,,,,,
"Södermanlands län, Sweden",,,,,,,,,,,
"Giurgiu, Romania",,,,,,,,,,,
"El Valle, Dominican Republic",,,,,,,,,,,
"Bingöl, Turkey",,,,,,,,,,,
"Lai Châu, Vietnam",,,,,,,,,,,
"Oio, Guinea-Bissau",,,,,,,,,,,
"Burdur, Turkey",,,,,,,,,,,
"Naryn, Kyrgyzstan",,,,,,,,,,,
"Solothurn, Switzerland",,,,,,,,,,,
"Hārerī Hizb, Ethiopia",,,,,,,,,,,
"Kaberamaido, Uganda",,,,,,,,,,,
"Luuka, Uganda",,,,,,,,,,,
"Rakai, Uganda",,,,,,,,,,,
"Gabú, Guinea-Bissau",,,,,,,,,,,
"French Guiana, France",,,,,,,,,,,
"Abkhazia, Georgia",,,,,,,,,,,
"Karlovarský kraj, Czech Republic",,,,,,,,,,,
"New Caledonia, France",,,,,,,,,,,
"Namayingo, Uganda",,,,,,,,,,,
"Burgenland, Austria",,,,,,,,,,,
"Houaphan, Laos",,,,,,,,,,,
"Molise, Italy",,,,,,,,,,,
"Grand Bassa, Liberia",,,,,,,,,,,
"Bududa, Uganda",,,,,,,,,,,
"Margibi, Liberia",,,,,,,,,,,
"Osječko-baranjska županija, Croatia",,,,,,,,,,,
"New Providence, The Bahamas",,,,,,,,,,,
"Ararat, Armenia",,,,,,,,,,,
"Călăraşi, Romania",,,,,,,,,,,
"Talas, Kyrgyzstan",,,,,,,,,,,
"Västmanlands län, Sweden",,,,,,,,,,,
"Koboko, Uganda",,,,,,,,,,,
"Primorsko-goranska županija, Croatia",,,,,,,,,,,
"Deir El Balah, State of Palestine",,,,,,,,,,,
"Bistriţa-Năsăud, Romania",,,,,,,,,,,
"Dalarnas län, Sweden",,,,,,,,,,,
"Bethlehem, State of Palestine",,,,,,,,,,,
"Concepción, Paraguay",,,,,,,,,,,
"Bundibugyo, Uganda",,,,,,,,,,,
"Chitipa, Malawi",,,,,,,,,,,
"Satun, Thailand",,,,,,,,,,,
"Ohangwena, Namibia",,,,,,,,,,,
"Trarza, Mauritania",,,,,,,,,,,
"North Bank, The Gambia",,,,,,,,,,,
"Värmlands län, Sweden",,,,,,,,,,,
"Quirino, Philippines",,,,,,,,,,,
"Tana River, Kenya",,,,,,,,,,,
"Mačvanski okrug, Serbia",,,,,,,,,,,
"Alebtong, Uganda",,,,,,,,,,,
"Al Muḩarraq, Bahrain",,,,,,,,,,,
"Karaman, Turkey",,,,,,,,,,,
"Rumphi, Malawi",,,,,,,,,,,
"Lwengo, Uganda",,,,,,,,,,,
"Budaka, Uganda",,,,,,,,,,,
"Cuscatlán, El Salvador",,,,,,,,,,,
"Bafatá, Guinea-Bissau",,,,,,,,,,,
"Omusati, Namibia",,,,,,,,,,,
"Canendeyú, Paraguay",,,,,,,,,,,
"Pailin [Pailĭn], Cambodia",,,,,,,,,,,
"Bushenyi, Uganda",,,,,,,,,,,
"Coclé, Panama",,,,,,,,,,,
"Kibuku, Uganda",,,,,,,,,,,
"Al Fujayrah, United Arab Emirates",,,,,,,,,,,
"Dytikí Makedonía, Greece",,,,,,,,,,,
"Agago, Uganda",,,,,,,,,,,
"Caraş-Severin, Romania",,,,,,,,,,,
"Ialomiţa, Romania",,,,,,,,,,,
"Lemesos [Leymasun], Cyprus",,,,,,,,,,,
"Cañar, Ecuador",,,,,,,,,,,
"Aakkâr, Lebanon",,,,,,,,,,,
"Aurora, Philippines",,,,,,,,,,,
"Central Island, The Gambia",,,,,,,,,,,
"Amuru, Uganda",,,,,,,,,,,
"Veraguas, Panama",,,,,,,,,,,
"Kırşehir, Turkey",,,,,,,,,,,
"Thurgau, Switzerland",,,,,,,,,,,
"Fier, Albania",,,,,,,,,,,
"Abra, Philippines",,,,,,,,,,,
"Região Autónoma da Madeira, Portugal",,,,,,,,,,,
"Adjumani, Uganda",,,,,,,,,,,
"Gävleborgs län, Sweden",,,,,,,,,,,
"West Sepik, Papua New Guinea",,,,,,,,,,,
"Bukedea, Uganda",,,,,,,,,,,
"Intibucá, Honduras",,,,,,,,,,,
"Šiaulių apskritis, Lithuania",,,,,,,,,,,
"Phangnga, Thailand",,,,,,,,,,,
"Būrkū, Chad",,,,,,,,,,,
"Västerbottens län, Sweden",,,,,,,,,,,
"Zlatiborski okrug, Serbia",,,,,,,,,,,
"Komárom-Esztergom, Hungary",,,,,,,,,,,
"Kaskazini Unguja, Tanzania",,,,,,,,,,,
"Elbasan, Albania",,,,,,,,,,,
"Kusini Pemba, Tanzania",,,,,,,,,,,
"Southern, Botswana",,,,,,,,,,,
"Karabük, Turkey",,,,,,,,,,,
"Höfuðborgarsvæði, Iceland",,,,,,,,,,,
"Clarendon, Jamaica",,,,,,,,,,,
"Keski-Suomi, Finland",,,,,,,,,,,
"Trat, Thailand",,,,,,,,,,,
"Uthai Thani, Thailand",,,,,,,,,,,
"Shida Kartli, Georgia",,,,,,,,,,,
"Preah Vihear [Preăh Vihéar], Cambodia",,,,,,,,,,,
"Sucumbíos, Ecuador",,,,,,,,,,,
"French Polynesia, France",,,,,,,,,,,
"Northern Territory, Australia",,,,,,,,,,,
"Nūristān, Afghanistan",,,,,,,,,,,
"Cotabato City, Philippines",,,,,,,,,,,
"Zala, Hungary",,,,,,,,,,,
"Delta Amacuro, Venezuela",,,,,,,,,,,
"Nakaseke, Uganda",,,,,,,,,,,
"Isiolo, Kenya",,,,,,,,,,,
"Manawatu-Wanganui, New Zealand",,,,,,,,,,,
"Vas, Hungary",,,,,,,,,,,
"Rubanda, Uganda",,,,,,,,,,,
"Al Jabal al Akhḑar, Libya",,,,,,,,,,,
"Mehedinţi, Romania",,,,,,,,,,,
"Pazardzhik, Bulgaria",,,,,,,,,,,
"Bouenza, Congo",,,,,,,,,,,
"Zacapa, Guatemala",,,,,,,,,,,
"Sool, Somalia",,,,,,,,,,,
"Nwoya, Uganda",,,,,,,,,,,
"Kabale, Uganda",,,,,,,,,,,
"Preah Sihanouk [Preăh Seihânŭ], Cambodia",,,,,,,,,,,
"Västernorrlands län, Sweden",,,,,,,,,,,
"Kaskazini Pemba, Tanzania",,,,,,,,,,,
"Rasinski okrug, Serbia",,,,,,,,,,,
"Bulambuli, Uganda",,,,,,,,,,,
"Tumbes, Peru",,,,,,,,,,,
"Kŭhistoni Badakhshon, Tajikistan",,,,,,,,,,,
"Le Kef, Tunisia",,,,,,,,,,,
"‘Ajlūn, Jordan",,,,,,,,,,,
"Pohjois-Savo, Finland",,,,,,,,,,,
"Sheema, Uganda",,,,,,,,,,,
"Chai Nat, Thailand",,,,,,,,,,,
"Møre og Romsdal, Norway",,,,,,,,,,,
"Nakapiripirit, Uganda",,,,,,,,,,,
"Lubombo, Eswatini",,,,,,,,,,,
"Jenin, State of Palestine",,,,,,,,,,,
"Nordland, Norway",,,,,,,,,,,
"Northern, Papua New Guinea",,,,,,,,,,,
"Estelí, Nicaragua",,,,,,,,,,,
"Cacheu, Guinea-Bissau",,,,,,,,,,,
"Kitgum, Uganda",,,,,,,,,,,
"Al Jabal al Gharbī, Libya",,,,,,,,,,,
"Rotanak Kiri [Rôtânôkiri], Cambodia",,,,,,,,,,,
"Ifugao, Philippines",,,,,,,,,,,
"Namisindwa, Uganda",,,,,,,,,,,
"Otago, New Zealand",,,,,,,,,,,
"Marinduque, Philippines",,,,,,,,,,,
"Yalova, Turkey",,,,,,,,,,,
"Região Autónoma dos Açores, Portugal",,,,,,,,,,,
"Sofia, Bulgaria",,,,,,,,,,,
"Nakasongola, Uganda",,,,,,,,,,,
"Veliko Tarnovo, Bulgaria",,,,,,,,,,,
"Kotido, Uganda",,,,,,,,,,,
"Tamanrasset, Algeria",,,,,,,,,,,
"Perlis, Malaysia",,,,,,,,,,,
"La Paz, Honduras",,,,,,,,,,,
"Basel-Landschaft, Switzerland",,,,,,,,,,,
"Dokolo, Uganda",,,,,,,,,,,
"Caazapá, Paraguay",,,,,,,,,,,
"Western, Papua New Guinea",,,,,,,,,,,
"Nakhon Nayok, Thailand",,,,,,,,,,,
"Viana do Castelo, Portugal",,,,,,,,,,,
"Jarash, Jordan",,,,,,,,,,,
"La Unión, El Salvador",,,,,,,,,,,
"Al Wakrah, Qatar",,,,,,,,,,,
"Tunapuna-Piarco, Trinidad and Tobago",,,,,,,,,,,
"Iğdır, Turkey",,,,,,,,,,,
"Geġark'unik', Armenia",,,,,,,,,,,
"Moravički okrug, Serbia",,,,,,,,,,,
"Ang Thong, Thailand",,,,,,,,,,,
"Širak, Armenia",,,,,,,,,,,
"Mādabā, Jordan",,,,,,,,,,,
"Sălaj, Romania",,,,,,,,,,,
"Louang Namtha, Laos",,,,,,,,,,,
"Ombella-Mpoko, Central African Republic",,,,,,,,,,,
"Pader, Uganda",,,,,,,,,,,
"Pomoravski okrug, Serbia",,,,,,,,,,,
"Rasŏn (Najin-Sŏnbong) [Raseon], North Korea",,,,,,,,,,,
"Mountain Province, Philippines",,,,,,,,,,,
"Omoro, Uganda",,,,,,,,,,,
"Siliana, Tunisia",,,,,,,,,,,
"Troms og Finnmark, Norway",,,,,,,,,,,
"Panevėžio apskritis, Lithuania",,,,,,,,,,,
"Shiselweni, Eswatini",,,,,,,,,,,
"Panjshayr, Afghanistan",,,,,,,,,,,
"Mbomou, Central African Republic",,,,,,,,,,,
"Guairá, Paraguay",,,,,,,,,,,
"Kalmar län, Sweden",,,,,,,,,,,
"Az̧ Z̧āhirah, Oman",,,,,,,,,,,
"Tolna, Hungary",,,,,,,,,,,
"Guimaras, Philippines",,,,,,,,,,,
"Oshikoto, Namibia",,,,,,,,,,,
"Basel-Stadt, Switzerland",,,,,,,,,,,
"Manafwa, Uganda",,,,,,,,,,,
"Satakunta, Finland",,,,,,,,,,,
"La Manouba, Tunisia",,,,,,,,,,,
"Biliran, Philippines",,,,,,,,,,,
"Pointe‐Noire, Congo",,,,,,,,,,,
"Altay, Respublika, Russia",,,,,,,,,,,
"Graubünden, Switzerland",,,,,,,,,,,
"Norrbottens län, Sweden",,,,,,,,,,,
"Pleven, Bulgaria",,,,,,,,,,,
"Maldonado, Uruguay",,,,,,,,,,,
"Haskovo, Bulgaria",,,,,,,,,,,
"Mitooma, Uganda",,,,,,,,,,,
"Al Janūbīyah, Bahrain",,,,,,,,,,,
"Paramaribo, Suriname",,,,,,,,,,,
"Katakwi, Uganda",,,,,,,,,,,
"Chalatenango, El Salvador",,,,,,,,,,,
"Kalungu, Uganda",,,,,,,,,,,
"Morona Santiago, Ecuador",,,,,,,,,,,
"Sinop, Turkey",,,,,,,,,,,
"Podunavski okrug, Serbia",,,,,,,,,,,
"Erongo, Namibia",,,,,,,,,,,
"Maale, Maldives",,,,,,,,,,,
"Carazo, Nicaragua",,,,,,,,,,,
"Orellana, Ecuador",,,,,,,,,,,
"Nīmrōz, Afghanistan",,,,,,,,,,,
"New Ireland, Papua New Guinea",,,,,,,,,,,
"Al Wāḩāt, Libya",,,,,,,,,,,
"Istarska županija, Croatia",,,,,,,,,,,
"San Juan-Laventille, Trinidad and Tobago",,,,,,,,,,,
"Covasna, Romania",,,,,,,,,,,
"Kibaale, Uganda",,,,,,,,,,,
"Al Marj, Libya",,,,,,,,,,,
"Oshana, Namibia",,,,,,,,,,,
"Ruse, Bulgaria",,,,,,,,,,,
"Ngöbe-Buglé, Panama",,,,,,,,,,,
"Podgorica, Montenegro",,,,,,,,,,,
"Bartın, Turkey",,,,,,,,,,,
"Jablanički okrug, Serbia",,,,,,,,,,,
"Maryland, Liberia",,,,,,,,,,,
"Chhukha, Bhutan",,,,,,,,,,,
"Woleu-Ntem, Gabon",,,,,,,,,,,
"Shkodër, Albania",,,,,,,,,,,
"Mwanza, Malawi",,,,,,,,,,,
"Ionía Nísia, Greece",,,,,,,,,,,
"Namp’o [Nampho], North Korea",,,,,,,,,,,
"Luxembourg, Luxembourg",,,,,,,,,,,
"Zaghouan, Tunisia",,,,,,,,,,,
"Mafeteng, Lesotho",,,,,,,,,,,
"Couva-Tabaquite-Talparo, Trinidad and Tobago",,,,,,,,,,,
"Korçë, Albania",,,,,,,,,,,
"Bắc Kạn, Vietnam",,,,,,,,,,,
"Loṙy, Armenia",,,,,,,,,,,
"Phôngsali, Laos",,,,,,,,,,,
"Saint James, Jamaica",,,,,,,,,,,
"Nógrád, Hungary",,,,,,,,,,,
"Manchester, Jamaica",,,,,,,,,,,
"Grand Gedeh, Liberia",,,,,,,,,,,
"Çankırı, Turkey",,,,,,,,,,,
"Aitoloakarnanía, Greece",,,,,,,,,,,
"Amolatar, Uganda",,,,,,,,,,,
"North West, Botswana",,,,,,,,,,,
"Granada, Nicaragua",,,,,,,,,,,
"Mohale's Hoek, Lesotho",,,,,,,,,,,
"Al ‘Aqabah, Jordan",,,,,,,,,,,
"Mae Hong Son, Thailand",,,,,,,,,,,
"Moquegua, Peru",,,,,,,,,,,
"Grand Cape Mount, Liberia",,,,,,,,,,,
"Wanica, Suriname",,,,,,,,,,,
"Bunyangabu, Uganda",,,,,,,,,,,
"Curacao, Netherlands",,,,,,,,,,,
"Vóreio Aigaío, Greece",,,,,,,,,,,
"Kédougou, Senegal",,,,,,,,,,,
"Napak, Uganda",,,,,,,,,,,
"Erzincan, Turkey",,,,,,,,,,,
"North East, Botswana",,,,,,,,,,,
"Gomba, Uganda",,,,,,,,,,,
"Rafah, State of Palestine",,,,,,,,,,,
"Lappi, Finland",,,,,,,,,,,
"Etelä-Pohjanmaa, Finland",,,,,,,,,,,
"Saint Ann, Jamaica",,,,,,,,,,,
"Kronobergs län, Sweden",,,,,,,,,,,
"Päijät-Häme, Finland",,,,,,,,,,,
"Bolívar, Ecuador",,,,,,,,,,,
"Morazán, El Salvador",,,,,,,,,,,
"Rivas, Nicaragua",,,,,,,,,,,
"Janūb Sīnā’, Egypt",,,,,,,,,,,
"Valle, Honduras",,,,,,,,,,,
"Töv, Mongolia",,,,,,,,,,,
"Kiboga, Uganda",,,,,,,,,,,
"Al Buţnān, Libya",,,,,,,,,,,
"Neuchâtel, Switzerland",,,,,,,,,,,
"Pando, Bolivia",,,,,,,,,,,
"El Progreso, Guatemala",,,,,,,,,,,
"Sliven, Bulgaria",,,,,,,,,,,
"Braničevski okrug, Serbia",,,,,,,,,,,
"Darnah, Libya",,,,,,,,,,,
"Vila Real, Portugal",,,,,,,,,,,
"Amambay, Paraguay",,,,,,,,,,,
"Ngora, Uganda",,,,,,,,,,,
"Carchi, Ecuador",,,,,,,,,,,
"Vlorë, Albania",,,,,,,,,,,
"Madriz, Nicaragua",,,,,,,,,,,
"Tulcea, Romania",,,,,,,,,,,
"San Vicente, El Salvador",,,,,,,,,,,
"Esch an der Alzette, Luxembourg",,,,,,,,,,,
"Boaco, Nicaragua",,,,,,,,,,,
"Amazonas, Venezuela",,,,,,,,,,,
"Zadarska županija, Croatia",,,,,,,,,,,
"Janūb ash Sharqīyah, Oman",,,,,,,,,,,
"Castelo Branco, Portugal",,,,,,,,,,,
"Kavango East, Namibia",,,,,,,,,,,
"Kilis, Turkey",,,,,,,,,,,
"Phatthaya, Thailand",,,,,,,,,,,
"Dobrich, Bulgaria",,,,,,,,,,,
"Kébili, Tunisia",,,,,,,,,,,
"Ocotepeque, Honduras",,,,,,,,,,,
"Pohjanmaa, Finland",,,,,,,,,,,
"Kymenlaakso, Finland",,,,,,,,,,,
"Hawke's Bay, New Zealand",,,,,,,,,,,
"Napo, Ecuador",,,,,,,,,,,
"Kanta-Häme, Finland",,,,,,,,,,,
"Magallanes, Chile",,,,,,,,,,,
"Bukomansimbi, Uganda",,,,,,,,,,,
"Vratsa, Bulgaria",,,,,,,,,,,
"Guadalcanal, Solomon Islands",,,,,,,,,,,
"Schwyz, Switzerland",,,,,,,,,,,
"Kolubarski okrug, Serbia",,,,,,,,,,,
"Varaždinska županija, Croatia",,,,,,,,,,,
"Yeveryskaya avtonomnaya oblast', Russia",,,,,,,,,,,
"Northland, New Zealand",,,,,,,,,,,
"Guam, USA",,,,,,,,,,,
"Butebo, Uganda",,,,,,,,,,,
"Ma‘ān, Jordan",,,,,,,,,,,
"Dakhlet Nouâdhibou, Mauritania",,,,,,,,,,,
"Saint Elizabeth, Jamaica",,,,,,,,,,,
"Sisačko-moslavačka županija, Croatia",,,,,,,,,,,
"Arica y Parinacota, Chile",,,,,,,,,,,
"Kaabong, Uganda",,,,,,,,,,,
"Nugaal, Somalia",,,,,,,,,,,
"Samut Songkhram, Thailand",,,,,,,,,,,
"Pčinjski okrug, Serbia",,,,,,,,,,,
"Buhweju, Uganda",,,,,,,,,,,
"Kémo-Gribingui, Central African Republic",,,,,,,,,,,
"Tulkarm, State of Palestine",,,,,,,,,,,
"Otjozondjupa, Namibia",,,,,,,,,,,
"Tataouine, Tunisia",,,,,,,,,,,
"Sankuru, Democratic Republic of the Congo",,,,,,,,,,,
"Surt, Libya",,,,,,,,,,,
"Tierra del Fuego, Argentina",,,,,,,,,,,
"Cuvette-Ouest, Congo",,,,,,,,,,,
"Kusini Unguja, Tanzania",,,,,,,,,,,
"Buliisa, Uganda",,,,,,,,,,,
"Tawi-Tawi, Philippines",,,,,,,,,,,
"Xékong, Laos",,,,,,,,,,,
"Cuvette, Congo",,,,,,,,,,,
"Lamwo, Uganda",,,,,,,,,,,
"Cabañas, El Salvador",,,,,,,,,,,
"Vukovarsko-srijemska županija, Croatia",,,,,,,,,,,
"Dakhla-Oued Ed-Dahab (EH), Morocco",,,,,,,,,,,
"Gulf, Papua New Guinea",,,,,,,,,,,
"São Lourenço dos Órgãos, Cape Verde",,,,,,,,,,,
"Bomi, Liberia",,,,,,,,,,,
"Thaba-Tseka, Lesotho",,,,,,,,,,,
"Shumen, Bulgaria",,,,,,,,,,,
"Malaita, Solomon Islands",,,,,,,,,,,
"Gribingui, Central African Republic",,,,,,,,,,,
"Aragac̣otn, Armenia",,,,,,,,,,,
"Bocas del Toro, Panama",,,,,,,,,,,
"Prince Edward Island, Canada",,,,,,,0.3513066871637204,,0.5461183704842427,,0.10257494235203697
"Abim, Uganda",,,,,,,,,,,
"Blekinge län, Sweden",,,,,,,,,,,
"Madre de Dios, Peru",,,,,,,,,,,
"Rubirizi, Uganda",,,,,,,,,,,
"Attapu, Laos",,,,,,,,,,,
"Larnaka, Cyprus",,,,,,,,,,,
"Sabhā, Libya",,,,,,,,,,,
"Samtskhe-Javakheti, Georgia",,,,,,,,,,,
"Artvin, Turkey",,,,,,,,,,,
"Chontales, Nicaragua",,,,,,,,,,,
"Xaçmaz, Azerbaijan",,,,,,,,,,,
"Shamāl ash Sharqīyah, Oman",,,,,,,,,,,
"South East, Botswana",,,,,,,,,,,
"Westmoreland, Jamaica",,,,,,,,,,,
"Presidente Hayes, Paraguay",,,,,,,,,,,
"Brodsko-posavska županija, Croatia",,,,,,,,,,,
"Évora, Portugal",,,,,,,,,,,
"Kardzhali, Bulgaria",,,,,,,,,,,
"Paraguarí, Paraguay",,,,,,,,,,,
"Niari, Congo",,,,,,,,,,,
"Pohjois-Karjala, Finland",,,,,,,,,,,
"Sangha, Central African Republic",,,,,,,,,,,
"Río San Juan, Nicaragua",,,,,,,,,,,
"Daman and Diu, India",,,,,,,,,,,
"Stueng Traeng [Stoĕng Trêng], Cambodia",,,,,,,,,,,
"Guarda, Portugal",,,,,,,,,,,
"Pamplemousses, Mauritius",,,,,,,,,,,
"Quthing, Lesotho",,,,,,,,,,,
"Apayao, Philippines",,,,,,,,,,,
"Al Mahrah, Yemen",,,,,,,,,,,
"Lékoumou, Congo",,,,,,,,,,,
"Tartumaa, Estonia",,,,,,,,,,,
"Cahul, Moldova",,,,,,,,,,,
"Bokèo, Laos",,,,,,,,,,,
"Flacq, Mauritius",,,,,,,,,,,
"Marijampolės apskritis, Lithuania",,,,,,,,,,,
"Sing Buri, Thailand",,,,,,,,,,,
"Otuke, Uganda",,,,,,,,,,,
"Ammochostos [Mağusa], Cyprus",,,,,,,,,,,
"Amudat, Uganda",,,,,,,,,,,
"Telšių apskritis, Lithuania",,,,,,,,,,,
"Neno, Malawi",,,,,,,,,,,
"Etelä-Savo, Finland",,,,,,,,,,,
"Buvuma, Uganda",,,,,,,,,,,
"Kaoh Kong [Kaôh Kŏng], Cambodia",,,,,,,,,,,
"Mokhotlong, Lesotho",,,,,,,,,,,
"Guaviare, Colombia",,,,,,,,,,,
"Kapchorwa, Uganda",,,,,,,,,,,
"Ash Shamālīyah, Bahrain",,,,,,,,,,,
"Kgatleng, Botswana",,,,,,,,,,,
"Ermera, East Timor",,,,,,,,,,,
"Beja, Portugal",,,,,,,,,,,
"Lezhë, Albania",,,,,,,,,,,
"Botha-Bothe, Lesotho",,,,,,,,,,,
"Alytaus apskritis, Lithuania",,,,,,,,,,,
"Colonia, Uruguay",,,,,,,,,,,
"Ogooué-Maritime, Gabon",,,,,,,,,,,
"Salto, Uruguay",,,,,,,,,,,
"Zug, Switzerland",,,,,,,,,,,
"Etelä-Karjala, Finland",,,,,,,,,,,
"Taranaki, New Zealand",,,,,,,,,,,
"Northern, Fiji",,,,,,,,,,,
"Misiones, Paraguay",,,,,,,,,,,
"Bukwo, Uganda",,,,,,,,,,,
"Moyo, Uganda",,,,,,,,,,,
"Água Grande, São Tomé and Príncipe",,,,,,,,,,,
"Moroto, Uganda",,,,,,,,,,,
"Utenos apskritis, Lithuania",,,,,,,,,,,
"Zaqatala, Azerbaijan",,,,,,,,,,,
"Lamu, Kenya",,,,,,,,,,,
"Princes Town, Trinidad and Tobago",,,,,,,,,,,
"Sinoe, Liberia",,,,,,,,,,,
"Magadanskaya oblast', Russia",,,,,,,,,,,
"Jämtlands län, Sweden",,,,,,,,,,,
"Yambol, Bulgaria",,,,,,,,,,,
"Amazonas, Colombia",,,,,,,,,,,
"Essequibo Islands-West Demerara, Guyana",,,,,,,,,,,
"Ash Shīḩānīyah, Qatar",,,,,,,,,,,
"Krapinsko-zagorska županija, Croatia",,,,,,,,,,,
"Haute-Kotto, Central African Republic",,,,,,,,,,,
"Aisén del General Carlos Ibañez del Campo, Chile",,,,,,,,,,,
"Pernik, Bulgaria",,,,,,,,,,,
"Montana, Bulgaria",,,,,,,,,,,
"Belize, Belize",,,,,,,,,,,
"Chaguanas, Trinidad and Tobago",,,,,,,,,,,
"San José, Uruguay",,,,,,,,,,,
"Valle d'Aosta, Italy",,,,,,,,,,,
"Kween, Uganda",,,,,,,,,,,
"Al Qunayţirah, Syria",,,,,,,,,,,
"Karlovačka županija, Croatia",,,,,,,,,,,
"Tozeur, Tunisia",,,,,,,,,,,
"Baucau, East Timor",,,,,,,,,,,
"Lyantonde, Uganda",,,,,,,,,,,
"Mondol Kiri [Môndól Kiri], Cambodia",,,,,,,,,,,
"Lovech, Bulgaria",,,,,,,,,,,
"Rukiga, Uganda",,,,,,,,,,,
"Aţ Ţafīlah, Jordan",,,,,,,,,,,
"Paysandú, Uruguay",,,,,,,,,,,
"Bragança, Portugal",,,,,,,,,,,
